Main_Genre,1,2,3,4,5,6,7,8,9,10,11,12
Action,338229877.875,352114579.8,405859351.58536583,836601592.28,517766935.43939394,445616432.94520545,465636038.42253524,310841061.8666667,328336432.64285713,483761960.875,420587886.3333333,712899528.5238096
Adventure,240980687.0,259998768.25,458910881.11764705,754546763.25,610073499.1764706,648957030.5333333,655562546.0,245710183.0,320301102.7692308,450014641.4285714,531571108.5263158,353160232.125
Animation,0.0,0.0,542063846.0,0.0,0.0,369293504.4,192927708.0,0.0,0.0,204394183.0,364259508.1666667,634338384.0
Biography,0.0,186797986.0,256271286.0,0.0,204268308.0,288670284.0,212587173.0,203114503.5,240797623.0,388947097.75,296317347.85714287,298653960.7
Comedy,251826196.5,305372764.0,281648390.25,263161806.0,330643205.6666667,298078467.85,301334048.0,248420760.57142857,221261119.0,291666860.0,278247949.5714286,271701882.28571427
Crime,0.0,312217595.0,191541568.5,0.0,351723989.0,187436818.0,181001478.0,0.0,327333559.0,379153737.8333333,365602311.5,281870371.5714286
Drama,246999039.0,426270281.4,352927224.0,303783515.0,270583823.28571427,249362974.5,430976704.4,388597745.25,293866447.2,437925161.5,263459142.66666666,374670714.7222222
Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527491704.5,0.0,199315902.5
Horror,278454417.0,255745157.0,256067149.0,0.0,269132012.0,276543471.0,252514653.33333334,234214516.66666666,344518573.8,214556630.66666666,0.0,206431050.0
Mystery,0.0,294805697.0,0.0,0.0,760006945.0,0.0,221303188.0,0.0,0.0,0.0,0.0,0.0
