Release_Month,AHistorical,Action,Adventure,Animated,Animation,Biography,Comedy,Comefy,Crime,Documentary,Drama,Family,Fantasy,Historical,History,Horror,Musical,Mustical,Mystery,Romance,Sci-Fi,Sport,Thriller,Unknown
1,0.0,16.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,25.0,4.0,0.0,0.0,1.0,12.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3,0.0,41.0,17.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,25.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,76.0,17.0,0.0,0.0,2.0,15.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.0,77.0,35.0,1.0,5.0,1.0,23.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
7,0.0,71.0,16.0,0.0,1.0,1.0,14.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0.0,30.0,6.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,14.0,14.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,24.0,7.0,0.0,2.0,4.0,6.0,0.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,0.0,27.0,39.0,0.0,7.0,7.0,14.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
12,0.0,44.0,24.0,0.0,1.0,11.0,22.0,0.0,7.0,0.0,20.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
