Feature,Importance
Budget (in $),0.46759882178707624
Running Time,0.2133089851718874
Release_Month,0.10716631431975115
Main_Genre_Adventure,0.02641836541346561
Distributor_Walt Disney Studios Motion Pictures,0.021451653060903044
Distributor_Universal Pictures,0.018008434774906566
Distributor_Warner Bros.,0.017560670483490668
Distributor_Twentieth Century Fox,0.016666428939618255
Main_Genre_Action,0.013381435717533006
Distributor_Sony Pictures Entertainment (SPE),0.010405110708175683
Distributor_Paramount Pictures,0.010050757517370081
Main_Genre_Drama,0.00925171548566371
Distributor_Summit Entertainment,0.006765838794134962
Distributor_The H Collective,0.0054835758058841425
Main_Genre_Comedy,0.005440285423306822
Distributor_CMC Pictures,0.004208208682457063
Distributor_Lionsgate,0.004072934147627979
Main_Genre_Animation,0.0036903023651770088
Distributor_New Line Cinema,0.003655740708304082
Main_Genre_Crime,0.0035708641535015418
Distributor_DreamWorks,0.0032201179638922583
Distributor_Well Go USA Entertainment,0.0031100722814129075
Main_Genre_Horror,0.0025120120318117807
Main_Genre_Biography,0.0022306188122592856
Distributor_Newmarket Films,0.0020626197592203
Distributor_DreamWorks Distribution,0.0017208154986653144
Distributor_STX Entertainment,0.0015803799231179218
Distributor_Miramax,0.0015154136897689487
Main_Genre_Animated,0.0012496358511269112
Distributor_FUNimation Entertainment,0.0012220644370547944
Distributor_Columbia Pictures,0.0011481012341906754
Distributor_Metro-Goldwyn-Mayer (MGM),0.001070360665592595
Distributor_The Weinstein Company,0.0009585292190635291
Main_Genre_Fantasy,0.000817855109981406
Distributor_Primarily Enlight Media,0.0005861606625646242
Distributor_TriStar Pictures,0.0005200649413749948
Distributor_IFC Films,0.0003822359466233673
Distributor_Fox Searchlight,0.00037840330835036166
Distributor_China Lion Film Distribution,0.0003647492360294702
Main_Genre_Thriller,0.0003274928620216678
Main_Genre_Mystery,0.00029091198977247327
Main_Genre_Unknown,0.00028654845855732863
Distributor_China Film Co,0.0002823092327493407
Main_Genre_Musical,0.00026841860674293067
Main_Genre_Family,0.00022913595431018553
Distributor_Newport Entertainment,0.00021921703381671376
Distributor_Crunchyroll,0.00021560763364077636
Distributor_Tianjin Maoyan Media,0.00020279826815026105
Distributor_Relativity Media,0.00020179511950980537
Distributor_Orion Pictures,0.00019422374431409673
"Distributor_September 27, 2018 (Hong Kong)",0.00019411316731225684
Main_Genre_History,0.00016240765594288583
Main_Genre_Sci-Fi,0.00015435873589507808
Distributor_United Artists Releasing,0.00015274240814191676
Distributor_Focus Features,0.00014407544366539863
Main_Genre_Sport,0.0001246448110830192
Distributor_GKIDS,0.0001132662713603194
Distributor_Screen Gems,9.929245542740447e-05
Distributor_Revolution Studios,9.563254219274163e-05
Distributor_CJ Entertainment,9.146585914394494e-05
Distributor_USA Films,8.512105287257879e-05
Distributor_United Artists,8.452403315978126e-05
"Distributor_February 1, 2022 (China)",8.097150488771506e-05
Main_Genre_Historical,7.905683416096171e-05
Distributor_Dimension Films,7.376828316388622e-05
Distributor_Artisan Entertainment,6.964569019842306e-05
Main_Genre_Documentary,6.38112554441217e-05
Distributor_Asia Releasing,5.5776626859915866e-05
Distributor_Huaxia Film Distribution,4.370837300516109e-05
Distributor_Sony Pictures Classics,4.321407560215768e-05
"Distributor_December 13, 2019 (China)",4.2762967613327836e-05
Distributor_Gramercy Pictures (I),4.128482131402439e-05
Distributor_Angel Studios,4.112484727098003e-05
Distributor_Primarily Mahua FunAge,4.0574066705752e-05
"Distributor_December 24, 2020 (China, APAC)",3.926262074725006e-05
Main_Genre_Comefy,3.876397055158738e-05
Distributor_Huanxi Media,3.836402575971563e-05
Distributor_UTV Motion Pictures,3.827113596967305e-05
Distributor_Well Go USA,3.069554896367064e-05
Distributor_Neon,2.7350098790814925e-05
Distributor_Alibaba Pictures Group,2.6831608502197555e-05
Distributor_HG Entertainment,2.1391384604653757e-05
Distributor_Tianjin Maoyan Culture Media,1.3221352015236914e-05
Main_Genre_Mustical,1.2961468146582559e-05
Distributor_Magnolia Pictures,6.768235271003091e-06
Distributor_RKO Radio Pictures,3.6618323320048258e-06
Main_Genre_Romance,0.0
Distributor_Toho,0.0
Distributor_Bona Film Group,0.0
Distributor_FilmRise,0.0
Distributor_Vestron Pictures,0.0
Distributor_AMC Theaters,0.0
Distributor_Great India Films,0.0
