Genre,Month,Budget_M,Forecasted_Revenue_M,ROI
Action/Blockbuster,5,10,33.6,3.36
Action/Blockbuster,5,50,168.0,3.36
Action/Blockbuster,5,100,264.0,2.64
Action/Blockbuster,5,200,528.0,2.64
Action/Blockbuster,6,10,33.6,3.36
Action/Blockbuster,6,50,168.0,3.36
Action/Blockbuster,6,100,264.0,2.64
Action/Blockbuster,6,200,528.0,2.64
Action/Blockbuster,7,10,44.8,4.48
Action/Blockbuster,7,50,224.0,4.48
Action/Blockbuster,7,100,352.0,3.52
Action/Blockbuster,7,200,704.0,3.52
Action/Blockbuster,11,10,33.6,3.36
Action/Blockbuster,11,50,168.0,3.36
Action/Blockbuster,11,100,264.0,2.64
Action/Blockbuster,11,200,528.0,2.64
Action/Blockbuster,12,10,44.8,4.48
Action/Blockbuster,12,50,224.0,4.48
Action/Blockbuster,12,100,352.0,3.52
Action/Blockbuster,12,200,704.0,3.52
Horror/Thriller,5,10,33.6,3.36
Horror/Thriller,5,50,168.0,3.36
Horror/Thriller,5,100,264.0,2.64
Horror/Thriller,5,200,528.0,2.64
Horror/Thriller,6,10,33.6,3.36
Horror/Thriller,6,50,168.0,3.36
Horror/Thriller,6,100,264.0,2.64
Horror/Thriller,6,200,528.0,2.64
Horror/Thriller,7,10,44.8,4.48
Horror/Thriller,7,50,224.0,4.48
Horror/Thriller,7,100,352.0,3.52
Horror/Thriller,7,200,704.0,3.52
Horror/Thriller,11,10,33.6,3.36
Horror/Thriller,11,50,168.0,3.36
Horror/Thriller,11,100,264.0,2.64
Horror/Thriller,11,200,528.0,2.64
Horror/Thriller,12,10,44.8,4.48
Horror/Thriller,12,50,224.0,4.48
Horror/Thriller,12,100,352.0,3.52
Horror/Thriller,12,200,704.0,3.52
Sci-Fi,5,10,33.6,3.36
Sci-Fi,5,50,168.0,3.36
Sci-Fi,5,100,264.0,2.64
Sci-Fi,5,200,528.0,2.64
Sci-Fi,6,10,33.6,3.36
Sci-Fi,6,50,168.0,3.36
Sci-Fi,6,100,264.0,2.64
Sci-Fi,6,200,528.0,2.64
Sci-Fi,7,10,44.8,4.48
Sci-Fi,7,50,224.0,4.48
Sci-Fi,7,100,352.0,3.52
Sci-Fi,7,200,704.0,3.52
Sci-Fi,11,10,33.6,3.36
Sci-Fi,11,50,168.0,3.36
Sci-Fi,11,100,264.0,2.64
Sci-Fi,11,200,528.0,2.64
Sci-Fi,12,10,44.8,4.48
Sci-Fi,12,50,224.0,4.48
Sci-Fi,12,100,352.0,3.52
Sci-Fi,12,200,704.0,3.52
Comedy/Drama,5,10,33.6,3.36
Comedy/Drama,5,50,168.0,3.36
Comedy/Drama,5,100,264.0,2.64
Comedy/Drama,5,200,528.0,2.64
Comedy/Drama,6,10,33.6,3.36
Comedy/Drama,6,50,168.0,3.36
Comedy/Drama,6,100,264.0,2.64
Comedy/Drama,6,200,528.0,2.64
Comedy/Drama,7,10,44.8,4.48
Comedy/Drama,7,50,224.0,4.48
Comedy/Drama,7,100,352.0,3.52
Comedy/Drama,7,200,704.0,3.52
Comedy/Drama,11,10,33.6,3.36
Comedy/Drama,11,50,168.0,3.36
Comedy/Drama,11,100,264.0,2.64
Comedy/Drama,11,200,528.0,2.64
Comedy/Drama,12,10,44.8,4.48
Comedy/Drama,12,50,224.0,4.48
Comedy/Drama,12,100,352.0,3.52
Comedy/Drama,12,200,704.0,3.52
